,Gregmat,Magoosh,Manhattan,Prep Scholar,Powerscore,Vince Kotchian / Brian McElroy,Greenlight Basic,Greenlight Advanced,,Work,Meaning,,,,,,,,,,,,,
890,,subversive,sublime,,,profane,,,,,,,,,,,,,,,,,,
891,,sullen,subpoena,,,profligacy,,,,,,,,,,,,,,,,,,
892,,summit,subside,,,profound,,,,,,,,,,,,,,,,,,
893,,supercilious,substantiate,,,profuse,,,,,,,,,,,,,,,,,,
894,,superfluous,succeeding,,,progenitors,,,,,,,,,,,,,,,,,,
895,,supplant,sully,,,prognosticate,,,,,,,,,,,,,,,,,,
896,,surfeit,supersede,,,proliferate,,,,,,,,,,,,,,,,,,
897,,surly,supplant,,,prolific,,,,,,,,,,,,,,,,,,
898,,surreptitious,supplicate,,,prolix,,,,,,,,,,,,,,,,,,
899,,sybarite,supposition,,,prominent,,,,,,,,,,,,,,,,,,
900,,sycophant,surfeit,,,promulgate,,,,,,,,,,,,,,,,,,
901,,taciturn,surly,,,pronounced,,,,,,,,,,,,,,,,,,
902,,tact,surmise,,,propagate,,,,,,,,,,,,,,,,,,
903,,tantamount,surrogate,,,propensity,,,,,,,,,,,,,,,,,,
904,,tarnish,sybarite,,,prophetic,,,,,,,,,,,,,,,,,,
905,,tawdry,sycophant,,,propitious,,,,,,,,,,,,,,,,,,
906,,taxing,symbiosis,,,propriety,,,,,,,,,,,,,,,,,,
907,,telling,synchronous,,,prosaic,,,,,,,,,,,,,,,,,,
908,,telltale,synoptic,,,protean,,,,,,,,,,,,,,,,,,
909,,temerity,syntax,,,providential,,,,,,,,,,,,,,,,,,
910,,temperance,table,,,provincial,,,,,,,,,,,,,,,,,,
911,,tempered,tacit,,,prowess,,,,,,,,,,,,,,,,,,
912,,tempestuous,taciturn,,,proximity,,,,,,,,,,,,,,,,,,
913,,tenacious,tangential,,,prudent,,,,,,,,,,,,,,,,,,
914,,tendentious,tawdry,,,puerile,,,,,,,,,,,,,,,,,,
915,,tender,temperance,,,pugnacious,,,,,,,,,,,,,,,,,,
916,,thoroughgoing,tendentious,,,pulchritude,,,,,,,,,,,,,,,,,,
917,,thrifty,tenuous,,,punctilious,,,,,,,,,,,,,,,,,,
918,,thwart,terrestrial,,,pungent,,,,,,,,,,,,,,,,,,
919,,timorous,terse,,,punitive,,,,,,,,,,,,,,,,,,
920,,tirade,timely,,,purist,,,,,,,,,,,,,,,,,,
921,,torpor,timorous,,,pusillanimous,,,,,,,,,,,,,,,,,,
922,,tortuous,tirade,,,putrid,,,,,,,,,,,,,,,,,,
923,,tout,toady,,,quagmire,,,,,,,,,,,,,,,,,,
924,,tractable,token,,,quail,,,,,,,,,,,,,,,,,,
925,,transient,tome,,,quandary,,,,,,,,,,,,,,,,,,
926,,transitory,torpor,,,quash,,,,,,,,,,,,,,,,,,
927,,transmute,torrid,,,querulous,,,,,,,,,,,,,,,,,,
928,,travail,tortuous,,,quiescent,,,,,,,,,,,,,,,,,,
929,,travesty,tractable,,,quintessential,,,,,,,,,,,,,,,,,,
930,,treacherous,transgression,,,quixotic,,,,,,,,,,,,,,,,,,
931,,trenchant,transitory,,,quizzical,,,,,,,,,,,,,,,,,,
932,,tribulation,travesty,,,quotidian,,,,,,,,,,,,,,,,,,
933,,trite,treacherous,,,raconteur,,,,,,,,,,,,,,,,,,
934,,truculence,trenchant,,,ragamuffin,,,,,,,,,,,,,,,,,,
935,,truculent,trifling,,,raiment,,,,,,,,,,,,,,,,,,
936,,truncate,trite,,,ramification,,,,,,,,,,,,,,,,,,
937,,tumult,truculent,,,rampant,,,,,,,,,,,,,,,,,,
938,,turgid,tumultuous,,,rancorous,,,,,,,,,,,,,,,,,,
939,,turpitude,turgid,,,rankled,,,,,,,,,,,,,,,,,,
940,,tyro,turpitude,,,rapacious,,,,,,,,,,,,,,,,,,
941,,umbrage,tyro,,,rapt,,,,,,,,,,,,,,,,,,
942,,unassailable,ubiquitous,,,rapturous,,,,,,,,,,,,,,,,,,
943,,uncanny,umbrage,,,rarefied,,,,,,,,,,,,,,,,,,
944,,uncompromising,unconscionable,,,rash,,,,,,,,,,,,,,,,,,
945,,unconscionable,undermine,,,raucous,,,,,,,,,,,,,,,,,,
946,,undermine,underscore,,,raze,,,,,,,,,,,,,,,,,,
947,,underscore,unearth,,,readily,,,,,,,,,,,,,,,,,,
948,,underwrite,unequivocal,,,realization,,,,,,,,,,,,,,,,,,
949,,unequivocal,unprecedented,,,reap,,,,,,,,,,,,,,,,,,
950,,unflappable,unseemly,,,rebuttal,,,,,,,,,,,,,,,,,,
951,,unforthcoming,unsparing,,,recalcitrant,,,,,,,,,,,,,,,,,,
952,,unimpeachable,untempered,,,recant,,,,,,,,,,,,,,,,,,
953,,unnerve,upbraid,,,recapitulated,,,,,,,,,,,,,,,,,,
954,,unprecedented,usury,,,recidivist,,,,,,,,,,,,,,,,,,
955,,unprepossessing,vacillate,,,reclusive,,,,,,,,,,,,,,,,,,
956,,unpropitious,vanguard,,,recondite,,,,,,,,,,,,,,,,,,
957,,unruly,variegated,,,recrudescent,,,,,,,,,,,,,,,,,,
958,,unscrupulous,venerate,,,rectitude,,,,,,,,,,,,,,,,,,
959,,unseemly,veracity,,,redouble,,,,,,,,,,,,,,,,,,
960,,unstinting,verbose,,,redress,,,,,,,,,,,,,,,,,,
961,,untenable,verdant,,,reductive,,,,,,,,,,,,,,,,,,
962,,untoward,verisimilar,,,redundant,,,,,,,,,,,,,,,,,,
963,,untrammeled,vernal,,,refracted,,,,,,,,,,,,,,,,,,
964,,unviable,vestige,,,refractory,,,,,,,,,,,,,,,,,,
965,,upbraid,vex,,,refulgent,,,,,,,,,,,,,,,,,,
966,,urbane,via,,,refute,,,,,,,,,,,,,,,,,,
967,,vacillate,viable,,,rejuvenated,,,,,,,,,,,,,,,,,,
968,,vacuous,vicissitude,,,relinquish,,,,,,,,,,,,,,,,,,
969,,vanquish,vim,,,relish,,,,,,,,,,,,,,,,,,
970,,variance,vintage,,,remedial,,,,,,,,,,,,,,,,,,
971,,vaunted,virtual,,,reminiscent,,,,,,,,,,,,,,,,,,
972,,vehement,virulent,,,remiss,,,,,,,,,,,,,,,,,,
973,,venality,viscid or viscous,,,remunerated,,,,,,,,,,,,,,,,,,
974,,veneer,vitriol,,,renowned,,,,,,,,,,,,,,,,,,
975,,venerate,vituperate,,,repertoire,,,,,,,,,,,,,,,,,,
976,,venial,vociferous,,,replete,,,,,,,,,,,,,,,,,,
977,,veracious,volatile,,,reprehensible,,,,,,,,,,,,,,,,,,
978,,verisimilitude,voluble,,,reprobate,,,,,,,,,,,,,,,,,,
979,,veritable,wan,,,reprove,,,,,,,,,,,,,,,,,,
980,,vicarious,wanton,,,repudiate,,,,,,,,,,,,,,,,,,
981,,vicissitude,warranted,,,repugnant,,,,,,,,,,,,,,,,,,
982,,vie,wary,,,requisite,,,,,,,,,,,,,,,,,,
983,,vilify,welter,,,resigned,,,,,,,,,,,,,,,,,,
984,,vindicate,whereas,,,resilient,,,,,,,,,,,,,,,,,,
985,,vindictive,whet,,,resolute,,,,,,,,,,,,,,,,,,
986,,virago,whimsical,,,resonant,,,,,,,,,,,,,,,,,,
987,,vitriol,whitewash,,,respite,,,,,,,,,,,,,,,,,,
988,,vitriolic,wily,,,resplendent,,,,,,,,,,,,,,,,,,
989,,vituperate,winnow,,,restitution,,,,,,,,,,,,,,,,,,
990,,vociferous,winsome,,,restive,,,,,,,,,,,,,,,,,,
991,,volubility,wizened,,,resurgence,,,,,,,,,,,,,,,,,,
992,,voracious,xenophobia,,,reticent,,,,,,,,,,,,,,,,,,
993,,wanting,yoke,,,retiring,,,,,,,,,,,,,,,,,,
994,,wanton,zeal,,,retrenchment,,,,,,,,,,,,,,,,,,
995,,wax,zenith,,,retrospection,,,,,,,,,,,,,,,,,,
996,,whimsical,,,,revamp,,,,,,,,,,,,,,,,,,
997,,winsome,,,,revanche,,,,,,,,,,,,,,,,,,
998,,zeitgeist,,,,reverberate,,,,,,,,,,,,,,,,,,
999,,zenith,,,,reverent,,,,,,,,,,,,,,,,,,
1000,,,,,,revile,,,,,,,,,,,,,,,,,,
1001,,,,,,revulsion,,,,,,,,,,,,,,,,,,
1002,,,,,,rhapsodize,,,,,,,,,,,,,,,,,,
1003,,,,,,rhetorical,,,,,,,,,,,,,,,,,,
1004,,,,,,rickety,,,,,,,,,,,,,,,,,,
1005,,,,,,rift,,,,,,,,,,,,,,,,,,
1006,,,,,,riposte,,,,,,,,,,,,,,,,,,
1007,,,,,,risible,,,,,,,,,,,,,,,,,,
1008,,,,,,risque,,,,,,,,,,,,,,,,,,
1009,,,,,,roborant,,,,,,,,,,,,,,,,,,
1010,,,,,,robust,,,,,,,,,,,,,,,,,,
1011,,,,,,rotund,,,,,,,,,,,,,,,,,,
1012,,,,,,row,,,,,,,,,,,,,,,,,,
1013,,,,,,rudimentary,,,,,,,,,,,,,,,,,,
1014,,,,,,ruffian,,,,,,,,,,,,,,,,,,
1015,,,,,,ruminate,,,,,,,,,,,,,,,,,,
1016,,,,,,saccharine,,,,,,,,,,,,,,,,,,
1017,,,,,,sacrosanct,,,,,,,,,,,,,,,,,,
1018,,,,,,salacious,,,,,,,,,,,,,,,,,,
1019,,,,,,salient,,,,,,,,,,,,,,,,,,
1020,,,,,,salubrious,,,,,,,,,,,,,,,,,,
1021,,,,,,salutary,,,,,,,,,,,,,,,,,,
1022,,,,,,sangfroid,,,,,,,,,,,,,,,,,,
1023,,,,,,sanguine,,,,,,,,,,,,,,,,,,
1024,,,,,,sap,,,,,,,,,,,,,,,,,,
1025,,,,,,sapid,,,,,,,,,,,,,,,,,,
1026,,,,,,sapient,,,,,,,,,,,,,,,,,,
1027,,,,,,sardonic,,,,,,,,,,,,,,,,,,
1028,,,,,,sashayed,,,,,,,,,,,,,,,,,,
1029,,,,,,satiated,,,,,,,,,,,,,,,,,,
1030,,,,,,scanty,,,,,,,,,,,,,,,,,,
1031,,,,,,scapegoat,,,,,,,,,,,,,,,,,,
1032,,,,,,scathing,,,,,,,,,,,,,,,,,,
1033,,,,,,schadenfreude,,,,,,,,,,,,,,,,,,
1034,,,,,,schism,,,,,,,,,,,,,,,,,,
1035,,,,,,scintillating,,,,,,,,,,,,,,,,,,
1036,,,,,,sclerotic,,,,,,,,,,,,,,,,,,
1037,,,,,,scofflaw,,,,,,,,,,,,,,,,,,
1038,,,,,,scotch,,,,,,,,,,,,,,,,,,
1039,,,,,,scrupulous,,,,,,,,,,,,,,,,,,
1040,,,,,,scrutinize,,,,,,,,,,,,,,,,,,
1041,,,,,,scuffle,,,,,,,,,,,,,,,,,,
1042,,,,,,scurrilous,,,,,,,,,,,,,,,,,,
1043,,,,,,scuttle,,,,,,,,,,,,,,,,,,
1044,,,,,,secretes,,,,,,,,,,,,,,,,,,
1045,,,,,,sectarian,,,,,,,,,,,,,,,,,,
1046,,,,,,secular,,,,,,,,,,,,,,,,,,
1047,,,,,,sedentary,,,,,,,,,,,,,,,,,,
1048,,,,,,sedulous,,,,,,,,,,,,,,,,,,
1049,,,,,,segue,,,,,,,,,,,,,,,,,,
1050,,,,,,self-styled,,,,,,,,,,,,,,,,,,
1051,,,,,,semblance,,,,,,,,,,,,,,,,,,
1052,,,,,,seminal,,,,,,,,,,,,,,,,,,
1053,,,,,,sententious,,,,,,,,,,,,,,,,,,
1054,,,,,,sentient,,,,,,,,,,,,,,,,,,
1055,,,,,,sequacious,,,,,,,,,,,,,,,,,,
1056,,,,,,sere,,,,,,,,,,,,,,,,,,
1057,,,,,,serendipity,,,,,,,,,,,,,,,,,,
1058,,,,,,servile,,,,,,,,,,,,,,,,,,
1059,,,,,,sham,,,,,,,,,,,,,,,,,,
1060,,,,,,shard,,,,,,,,,,,,,,,,,,
1061,,,,,,shelve,,,,,,,,,,,,,,,,,,
1062,,,,,,shirk,,,,,,,,,,,,,,,,,,
1063,,,,,,showy,,,,,,,,,,,,,,,,,,
1064,,,,,,shrewd,,,,,,,,,,,,,,,,,,
1065,,,,,,simper,,,,,,,,,,,,,,,,,,
1066,,,,,,simulacrum,,,,,,,,,,,,,,,,,,
1067,,,,,,sinuous,,,,,,,,,,,,,,,,,,
1068,,,,,,skittish,,,,,,,,,,,,,,,,,,
1069,,,,,,skulduggery,,,,,,,,,,,,,,,,,,
1070,,,,,,skulk,,,,,,,,,,,,,,,,,,
1071,,,,,,slake,,,,,,,,,,,,,,,,,,
1072,,,,,,slander,,,,,,,,,,,,,,,,,,
1073,,,,,,slatternly,,,,,,,,,,,,,,,,,,
1074,,,,,,slipshod,,,,,,,,,,,,,,,,,,
1075,,,,,,slothful,,,,,,,,,,,,,,,,,,
1076,,,,,,slovenly,,,,,,,,,,,,,,,,,,
1077,,,,,,sojourn,,,,,,,,,,,,,,,,,,
1078,,,,,,solecism,,,,,,,,,,,,,,,,,,
1079,,,,,,solicitous,,,,,,,,,,,,,,,,,,
1080,,,,,,solidarity,,,,,,,,,,,,,,,,,,
1081,,,,,,solipsistic,,,,,,,,,,,,,,,,,,
1082,,,,,,somnolent,,,,,,,,,,,,,,,,,,
1083,,,,,,sonorous,,,,,,,,,,,,,,,,,,
1084,,,,,,sophistry,,,,,,,,,,,,,,,,,,
1085,,,,,,sophomoric,,,,,,,,,,,,,,,,,,
1086,,,,,,soporific,,,,,,,,,,,,,,,,,,
1087,,,,,,sordid,,,,,,,,,,,,,,,,,,
1088,,,,,,soupcon,,,,,,,,,,,,,,,,,,
1089,,,,,,sovereign,,,,,,,,,,,,,,,,,,
1090,,,,,,sparing,,,,,,,,,,,,,,,,,,
1091,,,,,,sparse,,,,,,,,,,,,,,,,,,
1092,,,,,,specious,,,,,,,,,,,,,,,,,,
1093,,,,,,spendthrift,,,,,,,,,,,,,,,,,,
1094,,,,,,splenetic,,,,,,,,,,,,,,,,,,
1095,,,,,,spurious,,,,,,,,,,,,,,,,,,
1096,,,,,,squalid,,,,,,,,,,,,,,,,,,
1097,,,,,,squelch,,,,,,,,,,,,,,,,,,
1098,,,,,,stalwart,,,,,,,,,,,,,,,,,,
1099,,,,,,stanch,,,,,,,,,,,,,,,,,,
1100,,,,,,staple,,,,,,,,,,,,,,,,,,
1101,,,,,,statuesque,,,,,,,,,,,,,,,,,,
1102,,,,,,staunch,,,,,,,,,,,,,,,,,,
1103,,,,,,steadfast,,,,,,,,,,,,,,,,,,
1104,,,,,,stigmas,,,,,,,,,,,,,,,,,,
1105,,,,,,stilted,,,,,,,,,,,,,,,,,,
1106,,,,,,stolid,,,,,,,,,,,,,,,,,,
1107,,,,,,storied,,,,,,,,,,,,,,,,,,
1108,,,,,,stratagem,,,,,,,,,,,,,,,,,,
1109,,,,,,streamlined,,,,,,,,,,,,,,,,,,
1110,,,,,,strenuous,,,,,,,,,,,,,,,,,,
1111,,,,,,stricture,,,,,,,,,,,,,,,,,,
1112,,,,,,strident,,,,,,,,,,,,,,,,,,
1113,,,,,,stringent,,,,,,,,,,,,,,,,,,
1114,,,,,,stultify,,,,,,,,,,,,,,,,,,
1115,,,,,,stupefied,,,,,,,,,,,,,,,,,,
1116,,,,,,subjective,,,,,,,,,,,,,,,,,,
1117,,,,,,sublime,,,,,,,,,,,,,,,,,,
1118,,,,,,subsequent,,,,,,,,,,,,,,,,,,
1119,,,,,,subsidy,,,,,,,,,,,,,,,,,,
1120,,,,,,substantiate,,,,,,,,,,,,,,,,,,
1121,,,,,,subversive,,,,,,,,,,,,,,,,,,
1122,,,,,,subvert,,,,,,,,,,,,,,,,,,
1123,,,,,,succor,,,,,,,,,,,,,,,,,,
1124,,,,,,succumb,,,,,,,,,,,,,,,,,,
1125,,,,,,sullen,,,,,,,,,,,,,,,,,,
1126,,,,,,sumptuary,,,,,,,,,,,,,,,,,,
1127,,,,,,superficial,,,,,,,,,,,,,,,,,,
1128,,,,,,supplant,,,,,,,,,,,,,,,,,,
1129,,,,,,surly,,,,,,,,,,,,,,,,,,
1130,,,,,,surmise,,,,,,,,,,,,,,,,,,
1131,,,,,,surpassing,,,,,,,,,,,,,,,,,,
1132,,,,,,surreptitious,,,,,,,,,,,,,,,,,,
1133,,,,,,susceptible,,,,,,,,,,,,,,,,,,
1134,,,,,,swathe,,,,,,,,,,,,,,,,,,
1135,,,,,,sybarite,,,,,,,,,,,,,,,,,,
1136,,,,,,sycophant,,,,,,,,,,,,,,,,,,
1137,,,,,,synergy,,,,,,,,,,,,,,,,,,
1138,,,,,,synoptic,,,,,,,,,,,,,,,,,,
1139,,,,,,syntax,,,,,,,,,,,,,,,,,,
1140,,,,,,taciturn,,,,,,,,,,,,,,,,,,
1141,,,,,,tangible,,,,,,,,,,,,,,,,,,
1142,,,,,,taxonomic,,,,,,,,,,,,,,,,,,
1143,,,,,,temerity,,,,,,,,,,,,,,,,,,
1144,,,,,,temperance,,,,,,,,,,,,,,,,,,
1145,,,,,,tempestuous,,,,,,,,,,,,,,,,,,
1146,,,,,,temporal,,,,,,,,,,,,,,,,,,
1147,,,,,,tenable,,,,,,,,,,,,,,,,,,
1148,,,,,,tendentious,,,,,,,,,,,,,,,,,,
1149,,,,,,tensile,,,,,,,,,,,,,,,,,,
1150,,,,,,tenuous,,,,,,,,,,,,,,,,,,
1151,,,,,,tepid,,,,,,,,,,,,,,,,,,
1152,,,,,,terse,,,,,,,,,,,,,,,,,,
1153,,,,,,timorous,,,,,,,,,,,,,,,,,,
1154,,,,,,tirade,,,,,,,,,,,,,,,,,,
1155,,,,,,titular,,,,,,,,,,,,,,,,,,
1156,,,,,,tonic,,,,,,,,,,,,,,,,,,
1157,,,,,,toothsome,,,,,,,,,,,,,,,,,,
1158,,,,,,torpid,,,,,,,,,,,,,,,,,,
1159,,,,,,tortuous,,,,,,,,,,,,,,,,,,
1160,,,,,,totalitarian,,,,,,,,,,,,,,,,,,
1161,,,,,,touted,,,,,,,,,,,,,,,,,,
1162,,,,,,tranquil,,,,,,,,,,,,,,,,,,
1163,,,,,,transgression,,,,,,,,,,,,,,,,,,
1164,,,,,,transitory,,,,,,,,,,,,,,,,,,
1165,,,,,,treacly,,,,,,,,,,,,,,,,,,
1166,,,,,,tremulous,,,,,,,,,,,,,,,,,,
1167,,,,,,trepidation,,,,,,,,,,,,,,,,,,
1168,,,,,,trifling,,,,,,,,,,,,,,,,,,
1169,,,,,,truculent,,,,,,,,,,,,,,,,,,
1170,,,,,,truncated,,,,,,,,,,,,,,,,,,
1171,,,,,,tumid,,,,,,,,,,,,,,,,,,
1172,,,,,,tumultuous,,,,,,,,,,,,,,,,,,
1173,,,,,,turbid,,,,,,,,,,,,,,,,,,
1174,,,,,,turgid,,,,,,,,,,,,,,,,,,
1175,,,,,,turpitude,,,,,,,,,,,,,,,,,,
1176,,,,,,ubiquitous,,,,,,,,,,,,,,,,,,
1177,,,,,,umbrage,,,,,,,,,,,,,,,,,,
1178,,,,,,unadorned,,,,,,,,,,,,,,,,,,
1179,,,,,,unassuming,,,,,,,,,,,,,,,,,,
1180,,,,,,unbridled,,,,,,,,,,,,,,,,,,
1181,,,,,,unconscionable,,,,,,,,,,,,,,,,,,
1182,,,,,,unconventional,,,,,,,,,,,,,,,,,,
1183,,,,,,unctuous,,,,,,,,,,,,,,,,,,
1184,,,,,,uncultivated,,,,,,,,,,,,,,,,,,
1185,,,,,,undermine,,,,,,,,,,,,,,,,,,
1186,,,,,,underscore,,,,,,,,,,,,,,,,,,
1187,,,,,,understated,,,,,,,,,,,,,,,,,,
1188,,,,,,undulate,,,,,,,,,,,,,,,,,,
1189,,,,,,uniform,,,,,,,,,,,,,,,,,,
1190,,,,,,unkempt,,,,,,,,,,,,,,,,,,
1191,,,,,,unpretentiousness,,,,,,,,,,,,,,,,,,
1192,,,,,,unpropitious,,,,,,,,,,,,,,,,,,
1193,,,,,,unruly,,,,,,,,,,,,,,,,,,
1194,,,,,,unsavory,,,,,,,,,,,,,,,,,,
1195,,,,,,untenable,,,,,,,,,,,,,,,,,,
1196,,,,,,untoward,,,,,,,,,,,,,,,,,,
1197,,,,,,unwieldy,,,,,,,,,,,,,,,,,,
1198,,,,,,upbraided,,,,,,,,,,,,,,,,,,
1199,,,,,,urbane,,,,,,,,,,,,,,,,,,
1200,,,,,,usurious,,,,,,,,,,,,,,,,,,
1201,,,,,,usurp,,,,,,,,,,,,,,,,,,
1202,,,,,,utilitarian,,,,,,,,,,,,,,,,,,
1203,,,,,,utopian,,,,,,,,,,,,,,,,,,
1204,,,,,,vacuous,,,,,,,,,,,,,,,,,,
1205,,,,,,vainglorious,,,,,,,,,,,,,,,,,,
1206,,,,,,vanquished,,,,,,,,,,,,,,,,,,
1207,,,,,,vapid,,,,,,,,,,,,,,,,,,
1208,,,,,,variegated,,,,,,,,,,,,,,,,,,
1209,,,,,,vaunted,,,,,,,,,,,,,,,,,,
1210,,,,,,vehement,,,,,,,,,,,,,,,,,,
1211,,,,,,venal,,,,,,,,,,,,,,,,,,
1212,,,,,,veracious,,,,,,,,,,,,,,,,,,
1213,,,,,,verbose,,,,,,,,,,,,,,,,,,
1214,,,,,,verboten,,,,,,,,,,,,,,,,,,
1215,,,,,,verisimilar,,,,,,,,,,,,,,,,,,
1216,,,,,,vernacular,,,,,,,,,,,,,,,,,,
1217,,,,,,vertiginous,,,,,,,,,,,,,,,,,,
1218,,,,,,vestige,,,,,,,,,,,,,,,,,,
1219,,,,,,vex,,,,,,,,,,,,,,,,,,
1220,,,,,,vicarious,,,,,,,,,,,,,,,,,,
1221,,,,,,vigilant,,,,,,,,,,,,,,,,,,
1222,,,,,,vilify,,,,,,,,,,,,,,,,,,
1223,,,,,,vindicate,,,,,,,,,,,,,,,,,,
1224,,,,,,vindictive,,,,,,,,,,,,,,,,,,
1225,,,,,,virtuoso,,,,,,,,,,,,,,,,,,
1226,,,,,,virulent,,,,,,,,,,,,,,,,,,
1227,,,,,,viscous,,,,,,,,,,,,,,,,,,
1228,,,,,,vitiate,,,,,,,,,,,,,,,,,,
1229,,,,,,vitriolic,,,,,,,,,,,,,,,,,,
1230,,,,,,vituperated,,,,,,,,,,,,,,,,,,
1231,,,,,,vivacious,,,,,,,,,,,,,,,,,,
1232,,,,,,vocation,,,,,,,,,,,,,,,,,,
1233,,,,,,vociferous,,,,,,,,,,,,,,,,,,
1234,,,,,,volatile,,,,,,,,,,,,,,,,,,
1235,,,,,,volition,,,,,,,,,,,,,,,,,,
1236,,,,,,voluminous,,,,,,,,,,,,,,,,,,
1237,,,,,,voracious,,,,,,,,,,,,,,,,,,
1238,,,,,,voyeur,,,,,,,,,,,,,,,,,,
1239,,,,,,waffle,,,,,,,,,,,,,,,,,,
1240,,,,,,wan,,,,,,,,,,,,,,,,,,
1241,,,,,,wane,,,,,,,,,,,,,,,,,,
1242,,,,,,wanting,,,,,,,,,,,,,,,,,,
1243,,,,,,waspish,,,,,,,,,,,,,,,,,,
1244,,,,,,watershed,,,,,,,,,,,,,,,,,,
1245,,,,,,wax,,,,,,,,,,,,,,,,,,
1246,,,,,,welter,,,,,,,,,,,,,,,,,,
1247,,,,,,whet,,,,,,,,,,,,,,,,,,
1248,,,,,,whimsical,,,,,,,,,,,,,,,,,,
1249,,,,,,willful,,,,,,,,,,,,,,,,,,
1250,,,,,,wily,,,,,,,,,,,,,,,,,,
1251,,,,,,winnow,,,,,,,,,,,,,,,,,,
1252,,,,,,winsome,,,,,,,,,,,,,,,,,,
1253,,,,,,wistful,,,,,,,,,,,,,,,,,,
1254,,,,,,wizened,,,,,,,,,,,,,,,,,,
1255,,,,,,wont,,,,,,,,,,,,,,,,,,
1256,,,,,,woo,,,,,,,,,,,,,,,,,,
1257,,,,,,workmanlike,,,,,,,,,,,,,,,,,,
1258,,,,,,worldly,,,,,,,,,,,,,,,,,,
1259,,,,,,wrongheaded,,,,,,,,,,,,,,,,,,
1260,,,,,,wry,,,,,,,,,,,,,,,,,,
1261,,,,,,zealous,,,,,,,,,,,,,,,,,,
1262,,,,,,zenith,,,,,,,,,,,,,,,,,,
1263,,,,,,zephyr,,,,,,,,,,,,,,,,,,
1264,,,,,,,,,,,,,,,,,,,,,,,,
1265,,,,,,,,,,,,,,,,,,,,,,,,
1266,,,,,,,,,,,,,,,,,,,,,,,,
1267,,,,,,,,,,,,,,,,,,,,,,,,
1268,,,,,,,,,,,,,,,,,,,,,,,,
1269,,,,,,,,,,,,,,,,,,,,,,,,
1270,,,,,,,,,,,,,,,,,,,,,,,,
1271,,,,,,,,,,,,,,,,,,,,,,,,
1272,,,,,,,,,,,,,,,,,,,,,,,,
1273,,,,,,,,,,,,,,,,,,,,,,,,
1274,,,,,,,,,,,,,,,,,,,,,,,,
1275,,,,,,,,,,,,,,,,,,,,,,,,
1276,,,,,,,,,,,,,,,,,,,,,,,,
1277,,,,,,,,,,,,,,,,,,,,,,,,
1278,,,,,,,,,,,,,,,,,,,,,,,,
1279,,,,,,,,,,,,,,,,,,,,,,,,
1280,,,,,,,,,,,,,,,,,,,,,,,,
1281,,,,,,,,,,,,,,,,,,,,,,,,
1282,,,,,,,,,,,,,,,,,,,,,,,,
1283,,,,,,,,,,,,,,,,,,,,,,,,
1284,,,,,,,,,,,,,,,,,,,,,,,,
1285,,,,,,,,,,,,,,,,,,,,,,,,
1286,,,,,,,,,,,,,,,,,,,,,,,,
1287,,,,,,,,,,,,,,,,,,,,,,,,
1288,,,,,,,,,,,,,,,,,,,,,,,,
1289,,,,,,,,,,,,,,,,,,,,,,,,
1290,,,,,,,,,,,,,,,,,,,,,,,,
1291,,,,,,,,,,,,,,,,,,,,,,,,
1292,,,,,,,,,,,,,,,,,,,,,,,,
1293,,,,,,,,,,,,,,,,,,,,,,,,
1294,,,,,,,,,,,,,,,,,,,,,,,,
1295,,,,,,,,,,,,,,,,,,,,,,,,
1296,,,,,,,,,,,,,,,,,,,,,,,,
1297,,,,,,,,,,,,,,,,,,,,,,,,
1298,,,,,,,,,,,,,,,,,,,,,,,,
1299,,,,,,,,,,,,,,,,,,,,,,,,
1300,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
